Row_num,Country,Year,Disease Name,Country_pop,Incidence Rate mn (%),Prevalence rate (%),Mortality Rate per 100 people (%),Population affected,Pop_affected(Male),Pop_affected(Female),Ages 0-18 (%),Ages 19-35 (%),Ages 36-60 (%),Ages 61+ (%),Pop_affected_U (%),Pop_affected_R (%),Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment type,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Average Annual Treatment Cost (USD),Availability of Vaccines/Treatment,Composite Health Index (CHI),Per Capita Income (USD),Education Index,Urbanization Rate (%)
1,It@l¥,2013.00,Malaria,60311613,0.01,'0,0,3517,1846,1671,'29,'28,'32,'12,69,31,84.13,4.38,8.52,Medication,91.82,0,24.1,'1167,High,80.6,'35500.22,0.78,69
2,France,2002.00, Ebola ,61812142,0.01,'0,0,3338,1619,1719,'9,'25,'370,'29,77,23,88.02,3.29,9.29,Therapy,76.65,0,,'12399,None,45.9,'23962.59,0.74,77.3
3,T?u?r?k?e?y?,2015.00,COVID-19,78218479,1.67,'1.77,0.01,1306249,704068,602181,'17,'25,'30,'28,73,28,55.1,1.82,4.84,Medication,98.55,17.69,86.26,'2038,None,34.3,'10802,0.76,72.5
4,Indonesia,2011.00,Parkinson's Disease,249470032,,,,,,,,,,,,,37.06,0.6,0.48,Medication,67.35,0,-27.74,'1953,Low,26.5,'3579.46,0.61,49.2
5,It@l¥,2013.00,Tub?rculosis,60311613,0.28,'2.06,0.04,168873,102844,66029,'14,'23,'37,'27,69,31,91.13,4.87,6.79,Medication,50.06,9.87,-32.34,'889,High,73.9,'35500.22,0.78,69
6,Saudi Arabia,2011.00,Dengue,25091867,0,'0,0,777,395,382,'26,'35,'25,'14,82,18,60.07,2.38,3.14,Medication,93.17,0,-0.04,'472,Medium,54.5,'25919.09,0.68,81.8
7,USA,2013.00,Malaria,316726282,0.01,'0,0,21914,11417,10497,'31,'30,'29,'10,81,19,80.13,2.57,5.54,Medication,92.8,0,25.42,'15832,High,70.8,'52733.88,0.9,81.2
8,Nigeria,2007.00,Tub?rculosis,153267261,0.68,'6.38,0.06,1042217,652428,389789,'25,'27,'31,'17,41,59,46.04,0.69,0.67,Medication,65.45,34.54,-14.61,'35,Medium,37.8,'1798.33,0.43,41.3
9,It@l¥,2000.00,Rabies,56942108,0,'0,0,489,318,171,'13,'24,'39,'24,67,33,91,4.18,9.03,Medication,59.23,0.16,,'518,Medium,69.5,'20073.64,0.71,67
10,Australia,2006.00,Cholera,20450966,0.01,'0,0,1597,842,755,'23,'30,'28,'20,85,15,89.06,3.65,11.61,Medication,93.21,0,0.28,'1612,medium,75,'39827.18,0.89,84.6
11,Can@da,2011.00,Leprosy,34339221,0,'0,,1369,826,543,'6,'20,'44,'30,79,21,95.11,2.82,3.62,Medication,76.16,0,-18.29,'9945,Medium,62.7,'51897.07,0.88,78.9
12,Mex!co,2009.00,Cancer,111999721,0.91,'11.14,0.06,1019197,521829,497368,'8,'10,'35,'47,76,24,65.06,1.95,3.15,Medication,63.54,50.2,21.26,'6409,Medium,43.8,'8423.57,0.64,75.7
13,Nigeria,2007.00,Diabetes,153267261,0.59,'10.86,0.02,904277,489214,415063,'10,'17,'41,'32,41,59,34.04,0.27,1.41,Medication,68.02,52.27,-11.26,'137,Medium,38.7,'1798.33,0.43,41.3
