Row_num,Country,Year,Disease Name,Country_Population,Incidence_Rate,Prevalence_Rate,Mortality_Rate,Population_Affected,Affected_Male,Affected_Female,Age_0_18_Pct,Age_19_35_Pct,Age_36_60_Pct,Age_61_Plus_Pct,Urban_Population_Pct,Rural_Population_Pct,Healthcare_Access,Doctors_per_1000,Hospital_Beds_per_1000,Treatment_Type,Recovery_Rate,DALYs,Improvement_5_Years,Avg_Treatment_Cost_USD,Vaccine_Treatment_Availability,Health_Index,Per_Capita_Income_USD,Education_Index,Urbanization_Rate,Population Coverage (%),Gender Ratio (M:F),Urban_Rural_Ratio,Severity Score,Risk Score,Record_ID,Country_encoded,Disease Name_encoded,Treatment_Type_encoded,Vaccine_Treatment_Availability_encoded
6602.0,Argentina,2000,Alzheimer'S Disease,37213984.0,0.19,1.14,0.01,141744.0,80128.0,61579.0,25.0,25.0,25.0,25.0,78.0,22.0,74.0,1.46,4.66,Medication,97.12,0.0,-3.91,1490.0,Low,47.2,8280.44,0.73,89.0,0.19,1.12,3.55,0.01,0.08,1,0,0,0,1
8682.0,Argentina,2000,Asthma,37213984.0,0.65,7.2,0.04,241891.0,111028.0,130863.0,29.0,26.0,25.0,20.0,89.0,11.0,69.0,1.95,2.99,Medication,96.9,36.16,-3.91,29.0,High,70.4,8280.44,0.73,89.0,0.65,0.85,8.09,1.11,0.93,2,0,1,0,0
4086.0,Argentina,2000,COVID-19,37213984.0,0.15,0.2,0.0,55821.0,29250.0,26571.0,19.0,26.0,30.0,25.0,89.0,11.0,72.0,1.34,4.65,Medication,80.32,1.37,-3.91,599.0,Medium,34.1,8280.44,0.73,89.0,0.15,1.1,8.09,0.26,0.22,3,0,2,0,2
6703.0,Argentina,2000,Cancer,37213984.0,0.93,12.97,0.06,346090.0,169584.0,176506.0,9.0,11.0,35.0,45.0,89.0,11.0,61.0,1.41,3.61,Medication,85.62,60.51,-3.91,2914.0,Medium,45.7,8280.44,0.73,89.0,0.93,0.96,8.09,1.28,1.14,4,0,3,0,2
3589.0,Argentina,2000,Cholera,37213984.0,0.0,0.0,0.0,365.0,189.0,176.0,29.0,31.0,25.0,15.0,89.0,11.0,59.0,1.09,3.59,Medication,93.02,0.0,-3.91,94.0,Medium,51.3,8280.44,0.73,89.0,0.0,1.07,8.09,0.0,0.0,5,0,4,0,2
5844.0,Argentina,2000,Dengue,37213984.0,6.38,9.21,0.04,2374252.0,1165758.0,1208494.0,34.0,36.0,25.0,5.0,89.0,11.0,72.0,2.14,1.17,Medication,80.51,64.29,-3.91,61.0,Medium,52.1,8280.44,0.73,89.0,6.38,0.96,8.09,1.28,3.32,6,0,5,0,2
4463.0,Argentina,2000,Diabetes,37213984.0,0.43,7.49,0.05,160020.0,80170.0,79850.0,9.0,16.0,40.0,35.0,89.0,11.0,52.0,1.5,3.4,Medication,67.31,28.76,-3.91,125.0,Medium,50.7,8280.44,0.73,89.0,0.43,1.0,8.09,1.05,0.8,7,0,6,0,2
8212.0,Argentina,2000,Ebola,37213984.0,0.0,0.0,0.0,763.0,381.0,382.0,14.0,26.0,35.0,25.0,89.0,11.0,52.0,2.18,1.2,Therapy,88.5,0.0,-3.91,3018.0,Medium,29.1,8280.44,0.73,89.0,0.0,1.0,8.09,0.0,0.0,8,0,7,2,2
8947.0,Argentina,2000,HIVADS,37213984.0,0.03,0.24,0.0,11164.0,6073.0,5091.0,14.0,31.0,35.0,20.0,89.0,11.0,64.0,2.23,4.77,Therapy,88.39,1.23,-3.91,62.0,Low,45.4,8280.44,0.73,89.0,0.03,1.19,8.09,0.24,0.16,9,0,8,2,1
3540.0,Argentina,2000,Hepatitis,37213984.0,0.32,2.54,0.02,119085.0,72404.0,46681.0,9.0,16.0,35.0,40.0,89.0,11.0,70.0,2.06,3.15,Medication,70.54,9.9,-3.91,29.0,High,59.4,8280.44,0.73,89.0,0.32,1.55,8.09,0.73,0.57,10,0,9,0,0
238.0,Argentina,2000,Hypertension,37213984.0,1.56,19.2,0.075,580538.0,305944.0,274594.0,6.0,9.0,35.0,50.0,89.0,11.0,53.0,1.97,1.27,Medication,53.56,71.75,-3.91,117.0,Medium,46.4,8280.44,0.73,89.0,1.56,1.11,8.09,1.42,1.48,11,0,10,0,2
789.0,Argentina,2000,Influenza,37213984.0,4.81,6.72,0.02,1789993.0,891417.0,898576.0,29.0,26.0,30.0,15.0,89.0,11.0,68.0,2.41,3.68,Medication,73.44,54.88,-3.91,12.0,High,61.1,8280.44,0.73,89.0,4.81,0.99,8.09,1.22,2.66,12,0,11,0,0
4798.0,Argentina,2000,Leprosy,37213984.0,0.0,0.0,0.01,1248.0,756.0,492.0,14.0,21.0,40.0,25.0,89.0,11.0,52.0,1.96,2.42,Medication,90.83,0.0,-3.91,2862.0,Medium,49.7,8280.44,0.73,89.0,0.0,1.54,8.09,0.01,0.01,13,0,12,0,2
3972.0,Argentina,2000,Malaria,37213984.0,0.0,0.0,0.0,1641.0,853.0,788.0,39.0,31.0,25.0,5.0,89.0,11.0,71.0,1.61,1.25,Medication,65.13,0.0,-3.91,50.0,High,54.9,8280.44,0.73,89.0,0.0,1.08,8.09,0.0,0.0,14,0,13,0,0
3581.0,Argentina,2000,Measles,37213984.0,2.52,2.91,0.01,937792.0,477336.0,460456.0,54.0,21.0,8.0,17.0,89.0,11.0,54.0,1.24,2.04,Medication,54.43,30.47,-3.91,29.0,Medium,41.3,8280.44,0.73,89.0,2.52,1.04,8.09,1.04,1.63,15,0,14,0,2
544.0,Argentina,2000,Parkinson'S Disease,37213984.0,0.19,1.14,0.01,141744.0,80128.0,61579.0,25.0,25.0,25.0,25.0,78.0,22.0,66.0,1.91,2.87,Medication,60.29,0.0,-3.91,2860.0,Low,38.3,8280.44,0.73,89.0,0.19,1.12,3.55,0.01,0.08,16,0,15,0,1
5860.0,Argentina,2000,Polio,37213984.0,0.0,0.0,0.0,1249.0,633.0,616.0,44.0,21.0,10.0,25.0,89.0,11.0,61.0,2.01,3.56,Medication,67.35,0.0,-3.91,5.0,High,56.8,8280.44,0.73,89.0,0.0,1.03,8.09,0.0,0.0,17,0,16,0,0
2344.0,Argentina,2000,Rabies,37213984.0,0.01,0.01,0.0,3721.0,2393.0,1328.0,19.0,26.0,35.0,20.0,89.0,11.0,64.0,1.85,3.66,Medication,62.28,0.17,-3.91,31.0,Medium,49.2,8280.44,0.73,89.0,0.01,1.8,8.09,0.05,0.03,18,0,17,0,2
6140.0,Argentina,2000,Tubrculosis,37213984.0,0.1,0.65,0.01,37214.0,22589.0,14625.0,24.0,26.0,30.0,20.0,89.0,11.0,65.0,1.71,2.34,Medication,60.93,2.94,-3.91,118.0,High,54.3,8280.44,0.73,89.0,0.1,1.54,8.09,0.42,0.29,19,0,18,0,0
3817.0,Argentina,2000,Zika,37213984.0,0.01,0.0,0.0,2097.0,1017.0,1080.0,29.0,31.0,10.0,30.0,89.0,11.0,70.0,2.47,2.25,Medication,81.24,0.0,-3.91,30.0,Medium,33.6,8280.44,0.73,89.0,0.01,0.94,8.09,0.0,0.0,20,0,20,0,2
7310.0,Argentina,2001,Alzheimer'S Disease,37624825.0,0.19,1.14,0.01,141744.0,80128.0,61579.0,25.0,25.0,25.0,25.0,78.0,22.0,66.01,1.19,4.02,Medication,74.04,0.0,-3.91,1555.0,Low,40.2,7743.15,0.75,89.1,0.19,1.12,3.55,0.01,0.08,21,0,0,0,1
5951.0,Argentina,2001,Asthma,37624825.0,0.2,3.47,0.02,75250.0,33787.0,41463.0,29.0,26.0,25.0,20.0,89.0,11.0,73.01,2.44,2.01,Medication,80.24,15.72,-3.91,31.0,High,68.3,7743.15,0.75,89.1,0.2,0.81,8.09,0.86,0.6,22,0,1,0,0
6364.0,Argentina,2001,COVID-19,37624825.0,0.32,0.45,0.0,120399.0,62848.0,57551.0,19.0,26.0,30.0,25.0,89.0,11.0,60.01,2.46,2.55,Medication,70.23,3.38,-3.91,610.0,Medium,30.3,7743.15,0.75,89.1,0.32,1.09,8.09,0.44,0.39,23,0,2,0,2
2843.0,Argentina,2001,Cancer,37624825.0,0.2,2.06,0.02,75250.0,37023.0,38227.0,9.0,11.0,35.0,45.0,89.0,11.0,50.01,2.29,2.13,Medication,91.89,7.75,-3.91,2925.0,Medium,44.4,7743.15,0.75,89.1,0.2,0.97,8.09,0.66,0.48,24,0,3,0,2
1449.0,Argentina,2001,Cholera,37624825.0,0.01,0.0,0.0,2858.0,1483.0,1375.0,29.0,31.0,25.0,15.0,89.0,11.0,68.01,2.21,3.81,Medication,90.32,0.0,-3.91,94.0,Medium,56.5,7743.15,0.75,89.1,0.01,1.08,8.09,0.0,0.0,25,0,4,0,2
5348.0,Argentina,2001,Dengue,37624825.0,9.16,13.26,0.06,3446434.0,1712878.0,1733556.0,34.0,36.0,25.0,5.0,89.0,11.0,70.01,1.29,2.76,Medication,76.23,77.875,-3.91,60.0,Medium,50.6,7743.15,0.75,89.1,9.16,0.99,8.09,1.42,4.52,26,0,5,0,2
